Name,System,Developer,Publisher,Genre,Rating,Column 1,Column 2
1942,FBNEO,Capcom,Capcom,"Shoot'em Up / Vertical, Shoot'em Up",0.6,,
007: Everything or Nothing,GAMECUBE,Electronic Arts,Electronic Arts,Shooter / TPV,0.85,,
1000 Miglia: Great 1000 Miles Rally,FBNEO,Kaneko,Kaneko,"Race, Driving, Race, Driving / Race",0.4,,
1080 TenEighty Snowboarding,N64,Nintendo,Nintendo,"Sports, Sports / Skiing",0.8,,
1080° Avalanche,GAMECUBE,NST,Nintendo,Sports / Skiing,0.8,,
1943 Kai,PCENGINE,Capcom,Naxat Soft,"Shoot'em Up, Shoot'em Up / Vertical",0.6,,
1943: The Battle of Midway,FBNEO,Capcom,Capcom,"Shoot'em Up / Vertical, Shoot'em Up",0.6,,
1944 : The Loop Master,FBNEO,8Ing/Raizing,Capcom,"Shoot'em Up / Vertical, Shoot'em Up",0.8,,
19XX : The War Against Destiny,FBNEO,Capcom,Capcom,"Shoot'em Up / Vertical, Shoot'em Up",0.6,,
2 On 2 Open Ice Challenge,FBNEO,Midway,Midway,"Sports, Sports / Hockey",0.6,,
2010 - The Graphic Action Game,COLECOVISION,Coleco,Coleco,Strategy,0.55,,
2020 Super Baseball,FBNEO,Pallas,SNK,"Sports / Baseball, Sports",0.6,,
2020 Super Baseball,NEOGEO,Pallas,SNK,"Sports / Baseball, Sports",0.6,,
21 Emon - Mezase Hotel Ou!!,PCENGINE,NEC,NEC,Board game,0.85,,
3 Count Bout,NEOGEO,SNK,SNK,Sports / Wrestling,0.6,,
3D Tetris,VIRTUALBOY,T&E Soft,Nintendo,Puzzle-Game,0.6,,
64th. Street - A Detective Story,FBNEO,C.P. Brain,Jaleco,Fight / 2.5D,0.5,,
88 Games,FBNEO,Konami,Konami,Sports / Running trails,0.6,,
Activision Anthology,GBA,Aspyr,Aspyr,Compilation,0.75,,
ActRaiser,SNES,Quintet,Enix,Platform / Build And Management,0.8,,
Advance Wars,GBA,Intelligent Games,Nintendo,Strategy,0.8,,
Aero Fighters 2,FBNEO,Video System,SNK,"Shoot'em Up / Vertical, Shoot'em Up",0.6,,
Aero Fighters 2,NEOGEO,Video System,SNK,Shoot'em up / Vertical,0.75,,
Aero Fighters 3,NEOGEO,Video System,SNK,Shoot'em up / Vertical,0.75,,
AeroWings,DREAMCAST,CRI,Crave Entertainment,"Simulation, Shooter / Plane, Simulation / Vehicle, Shooter",0.6,,
AeroWings 2 : Airstrike,DREAMCAST,CRI,Crave Entertainment,"Simulation, Shooter / Plane, Simulation / Vehicle, Shooter",0.6,,
After Burner,SEGA32X,Rutubo Games,SEGA,"Shooter / Plane, 3rd person",0.7,,
After Burner II,PCENGINE,SEGA,NEC,"Shooter, Shooter / Plane, 3Rd Person",0.6,,
Age of Heroes - Silkroad 2,FBNEO,Unico,Unico,Fight / 2.5D,0.7,,
Aggressors of Dark Kombat,NEOGEO,ADK,SNK,Fight / Versus,0.6,,
